sample;S1_exposure;S2_exposure;S3_exposure;S1_pvalue;S2_pvalue;S3_pvalue
SRR12833747;3.95534816459525;3.15962979180558;0;1.95047718277382e-18;1.95047718277382e-18;NA
SRR12833750;6.80169169828509;7.05253059141938;4.58103266121774;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833751;2.83471765341727;3.10962245834204;7.01148710212742;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833757;5.95400501720951;4.88198417491156;0;1.97773274215817e-18;1.97773274215817e-18;NA
SRR12833761;1.99093101007195;7.34627352040457;8.75550730896478;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833772;9.00461723352581;1.55611456202196;15.2043333721475;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12833794;12.1513503210224;3.14610932987726;9.83036237723398;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12833797;6.36550684059637;3.24842883486953;3.44714322391068;1.97795580444976e-18;2.89525431635498e-17;1.97795580444976e-18
SRR12833798;9.06019689284714;1.43754323159487;4.54422495610366;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12833799;8.59064097361146;3.48636893859175;6.54201240744135;1.97795580444976e-18;3.32737929809799e-10;1.97795580444976e-18
SRR12833802;1.8191422506918;8.24822450736889;1.96427887511814;1.39589895004879e-05;1.97795580444976e-18;1.76592517600616e-14
SRR12833803;0.825472422995397;1.60432973283233;11.1813125362406;NA;NA;7.77373981688446e-24
SRR12833830;4.33546669079047;1.80511808940773;2.98026091450311;1.97795580444976e-18;0.999999989261688;1.97795580444976e-18
SRR12833833;23.1138110095663;6.98244732251958;6.75688144396595;9.36144798759199e-20;0.995750916262386;0.999999511997705
SRR12833836;46.509581903349;18.070662117986;9.66980882059736;7.77373981688446e-24;NA;NA
SRR12833840;21.5423505157164;3.59512795947034;2.85072056792862;7.77373981688446e-24;NA;NA
SRR12833842;3.1621376997856;18.6938419757044;6.37412976567713;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12833872;6.38122968327509;3.37657943008202;3.57598800826392;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833875;37.6301255922206;21.5552740069826;4.14052120282425;1.97795580444976e-18;1.97795580444976e-18;NA
SRR12833882;2.94835431135973;8.30457768514664;4.07298913465455;4.33095140314109e-17;1.97795580444976e-18;1.97795580444976e-18
SRR12833890;12.0067108084259;26.3293512808994;26.0117959682824;2.03865265468106e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833893;0;6.33114614652622;2.03142359761523;NA;1.97728668910923e-18;1.97728668910923e-18
SRR12833919;5.69426941552347;6.99809336476394;2.44504998721231;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12833924;2.48547370744685;4.8240433499819;0.549085419686058;1.97773274215817e-18;1.97773274215817e-18;NA
SRR12833927;2.4402467305674;6.0038199614554;11.6537079646293;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
